{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0767313, lon=129.0921082, alt=32.441, dist_traveled=3983.393525985347, wp_dist=65535, heading=359, target_heading=359, previous_heading=35900, dist_to_home=3.7479761222690495, vertical_speed=-0.1420746147632599, ground_speed=8.05622673034668, wind_vel=0.031247379258275032, airspeed=6.228979110717773, gps_hdop=1.21, roll=-11.15, pitch=1.25, yaw=-0.55, ch3percent=0.0, ch9out=0.0, tot=0.0, toh=0.47, time_in_air=0.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:51.498254, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0767313, lon=129.0921082, alt=32.441, dist_traveled=3983.393525985347, wp_dist=65535, heading=359, target_heading=359, previous_heading=35900, dist_to_home=3.7479761222690495, vertical_speed=-0.1420746147632599, ground_speed=8.05622673034668, wind_vel=0.031247379258275032, airspeed=6.228979110717773, gps_hdop=1.21, roll=-11.15, pitch=1.25, yaw=-0.55, ch3percent=0.0, ch9out=0.0, tot=0.0, toh=0.47, time_in_air=0.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:51.498254, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0768721, lon=129.0920728, alt=32.299, dist_traveled=3999.377750754013, wp_dist=65535, heading=347, target_heading=347, previous_heading=34700, dist_to_home=19.657315786252575, vertical_speed=-0.039663080126047134, ground_speed=13.339316368103027, wind_vel=0.031247379258275032, airspeed=11.642413139343262, gps_hdop=1.21, roll=-17.62, pitch=0.66, yaw=-12.73, ch3percent=0.0, ch9out=0.0, tot=4912.92, toh=1.47, time_in_air=1.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:53.50155, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0770083, lon=129.092004, alt=32.25, dist_traveled=4015.7655781590543, wp_dist=65535, heading=335, target_heading=335, previous_heading=33500, dist_to_home=35.806691823477635, vertical_speed=-0.05273180454969406, ground_speed=18.230113983154297, wind_vel=0.031247379258275032, airspeed=17.192296981811523, gps_hdop=1.21, roll=-15.18, pitch=-0.31, yaw=-24.36, ch3percent=0.0, ch9out=0.0, tot=3594.88, toh=1.96, time_in_air=2.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:54.502577, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0770835, lon=129.0919558, alt=32.273, dist_traveled=4025.2079985705464, wp_dist=65535, heading=331, target_heading=331, previous_heading=33100, dist_to_home=45.073236613776324, vertical_speed=0.18329010903835297, ground_speed=20.1031551361084, wind_vel=0.031247379258275032, airspeed=19.180416107177734, gps_hdop=1.21, roll=-11.21, pitch=-0.56, yaw=-28.85, ch3percent=0.0, ch9out=0.0, tot=3259.94, toh=2.24, time_in_air=3.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:55.502554, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0772409, lon=129.091839, alt=32.511, dist_traveled=4045.684648478067, wp_dist=65535, heading=327, target_heading=327, previous_heading=32700, dist_to_home=65.1627418433615, vertical_speed=0.2528025209903717, ground_speed=21.735403060913086, wind_vel=0.031247379258275032, airspeed=21.126773834228516, gps_hdop=1.21, roll=-6.53, pitch=-1.18, yaw=-32.79, ch3percent=0.0, ch9out=0.0, tot=3015.13, toh=3.0, time_in_air=4.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:56.501439, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0774045, lon=129.0917039, alt=32.776, dist_traveled=4067.640813886721, wp_dist=65535, heading=325, target_heading=325, previous_heading=32500, dist_to_home=86.75701701036267, vertical_speed=0.2157468944787979, ground_speed=22.77332878112793, wind_vel=0.031247379258275032, airspeed=22.32605743408203, gps_hdop=1.21, roll=-3.52, pitch=-1.64, yaw=-34.88, ch3percent=0.0, ch9out=0.0, tot=2877.71, toh=3.81, time_in_air=5.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:57.493185, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0775723, lon=129.0915578, alt=32.982, dist_traveled=4090.5514352080672, wp_dist=65535, heading=324, target_heading=324, previous_heading=32400, dist_to_home=109.36761192821544, vertical_speed=0.09537521004676819, ground_speed=23.42690658569336, wind_vel=0.031247379258275032, airspeed=23.056928634643555, gps_hdop=1.21, roll=-1.72, pitch=-2.1, yaw=-35.9, ch3percent=0.0, ch9out=0.0, tot=2797.42, toh=4.67, time_in_air=6.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:58.502487, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0778279, lon=129.0913289, alt=33.079, dist_traveled=4125.788521747585, wp_dist=65535, heading=323, target_heading=323, previous_heading=32300, dist_to_home=144.2744470546584, vertical_speed=-0.036539021879434586, ground_speed=23.990581512451172, wind_vel=0.031247379258275032, airspeed=23.777353286743164, gps_hdop=1.21, roll=-0.66, pitch=-2.52, yaw=-36.54, ch3percent=0.0, ch9out=0.0, tot=2731.7, toh=6.01, time_in_air=7.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:08:59.493107, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0779151, lon=129.0912502, alt=33.011, dist_traveled=4137.842766848666, wp_dist=65535, heading=323, target_heading=323, previous_heading=32300, dist_to_home=156.24477439406613, vertical_speed=-1.447855830192566, ground_speed=24.188312530517578, wind_vel=0.031247379258275032, airspeed=24.04299545288086, gps_hdop=1.21, roll=-0.14, pitch=-6.65, yaw=-36.78, ch3percent=0.0, ch9out=0.0, tot=2709.37, toh=6.46, time_in_air=8.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:00.493095, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0780907, lon=129.091091, alt=31.202, dist_traveled=4162.1559460913295, wp_dist=65535, heading=323, target_heading=323, previous_heading=32300, dist_to_home=180.4175068529376, vertical_speed=-1.7448348999023438, ground_speed=24.828109741210938, wind_vel=0.031247379258275032, airspeed=24.511045455932617, gps_hdop=1.21, roll=-0.22, pitch=-6.43, yaw=-36.85, ch3percent=0.0, ch9out=0.0, tot=2639.55, toh=7.27, time_in_air=9.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:01.501388, flight_count=2}
